iter	RMSE
0	6661.598686
1	6618.557525
2	6573.560005
3	6530.387385
4	6492.489958
5	6450.467734
6	6409.025374
7	6370.679039
8	6331.315697
9	6292.840269
10	6255.136809
11	6219.199718
12	6182.437569
13	6147.570695
14	6112.99868
15	6074.720483
16	6039.070521
17	6002.119129
18	5968.284043
19	5933.379276
20	5900.885901
21	5865.613651
22	5833.353196
23	5800.632385
24	5770.504983
25	5736.456051
26	5703.714291
27	5673.418635
28	5642.734247
29	5612.984168
30	5581.893394
31	5551.639883
32	5523.022921
33	5494.265216
34	5466.594442
35	5438.61755
36	5409.305563
37	5382.850735
38	5355.114658
39	5327.878244
40	5302.874053
41	5274.93241
42	5248.01279
43	5221.632987
44	5194.805892
45	5169.43423
46	5142.786245
47	5117.326707
48	5090.588342
49	5068.223419
50	5044.146935
51	5021.265231
52	4997.040205
53	4973.212914
54	4948.906101
55	4924.143801
56	4900.161765
57	4878.441033
58	4857.132485
59	4834.625824
60	4812.059111
61	4791.064991
62	4768.932139
63	4748.784919
64	4727.320572
65	4705.379846
66	4683.222018
67	4664.668781
68	4645.506277
69	4627.953221
70	4610.179125
71	4592.467763
72	4572.523236
73	4553.722939
74	4534.323762
75	4516.594809
76	4498.377508
77	4480.946203
78	4464.426445
79	4447.098825
80	4431.09708
81	4413.834583
82	4395.393697
83	4377.08531
84	4362.46378
85	4345.928108
86	4329.599714
87	4314.318396
88	4298.916091
89	4283.436304
90	4267.781489
91	4252.484835
92	4236.474813
93	4221.292668
94	4206.873431
95	4192.166411
96	4178.796519
97	4165.601762
98	4151.669567
99	4138.75584
100	4126.531519
101	4113.216797
102	4100.316703
103	4086.776074
104	4073.795756
105	4061.35945
106	4048.512366
107	4034.992974
108	4022.290038
109	4009.042668
110	3997.580477
111	3985.097421
112	3971.760193
113	3960.114378
114	3948.411304
115	3936.998871
116	3924.315759
117	3913.642565
118	3901.637713
119	3891.688413
120	3883.326054
121	3872.654669
122	3861.264006
123	3851.312756
124	3840.092417
125	3830.510279
126	3820.892535
127	3810.317291
128	3801.569362
129	3791.576499
130	3781.723811
131	3772.277481
132	3762.567467
133	3752.364889
134	3743.715946
135	3735.17668
136	3726.104971
137	3717.569506
138	3708.317032
139	3699.38445
140	3690.87121
141	3682.05478
142	3673.888629
143	3667.552986
144	3659.610635
145	3652.904694
146	3645.670427
147	3637.2673
148	3629.921307
149	3623.252203
150	3616.274655
151	3609.489711
152	3602.310125
153	3595.602304
154	3588.569278
155	3581.627604
156	3574.211645
157	3567.351369
158	3560.675712
159	3554.349921
160	3547.117351
161	3540.387297
162	3533.320112
163	3526.669505
164	3520.497364
165	3514.466305
166	3508.013455
167	3502.313329
168	3495.72541
169	3489.806976
170	3483.054448
171	3477.16468
172	3470.898213
173	3465.39912
174	3460.174973
175	3454.418635
176	3448.599189
177	3443.39958
178	3438.136948
179	3433.320882
180	3427.06982
181	3422.127123
182	3417.422683
183	3411.679441
184	3406.095016
185	3400.522784
186	3395.335837
187	3390.902304
188	3385.914869
189	3381.040507
190	3376.198708
191	3371.686827
192	3367.206941
193	3362.835915
194	3357.43438
195	3353.52278
196	3348.699352
197	3345.071496
198	3340.898587
199	3337.367176
200	3332.950134
201	3328.925432
202	3324.647775
203	3320.656322
204	3315.65691
205	3311.536702
206	3306.539832
207	3302.612505
208	3298.901038
209	3295.414431
210	3291.084361
211	3287.33039
212	3283.832541
213	3279.800633
214	3276.09557
215	3273.110171
216	3269.888005
217	3266.233363
218	3262.119611
219	3258.418239
220	3253.993423
221	3249.65645
222	3246.229486
223	3243.334235
224	3239.531137
225	3236.115262
226	3232.363494
227	3229.338726
228	3225.578437
229	3222.254843
230	3218.58057
231	3215.529653
232	3212.126511
233	3209.216416
234	3206.287817
235	3203.165182
236	3200.843556
237	3197.766579
238	3194.494405
239	3192.113942
240	3189.486277
241	3186.32098
242	3183.400902
243	3180.152394
244	3176.655401
245	3174.199546
246	3171.036395
247	3168.622322
248	3166.279185
249	3163.151408
250	3160.468546
251	3157.212498
252	3154.925225
253	3152.369203
254	3150.460295
255	3147.856964
256	3144.878413
257	3142.271978
258	3139.58446
259	3136.953413
260	3133.582452
261	3130.852529
262	3128.229828
263	3126.046178
264	3123.400702
265	3121.314229
266	3118.724687
267	3116.265963
268	3114.012228
269	3111.766205
270	3108.757483
271	3106.478147
272	3104.207413
273	3102.112307
274	3099.474347
275	3097.245429
276	3094.59052
277	3092.078467
278	3089.568224
279	3087.073765
280	3085.222855
281	3083.142164
282	3081.112224
283	3078.518147
284	3076.485492
285	3074.500989
286	3071.902021
287	3069.932108
288	3067.564998
289	3066.225098
290	3064.25823
291	3061.852629
292	3060.371662
293	3058.110879
294	3056.297622
295	3054.195016
296	3052.077605
297	3050.246415
298	3047.844025
299	3045.932809
300	3043.712978
301	3042.271797
302	3040.08929
303	3038.122721
304	3036.53508
305	3035.098704
306	3033.222469
307	3031.051535
308	3029.610222
309	3027.803921
310	3026.200337
311	3024.078757
312	3022.541561
313	3021.014185
314	3019.450647
315	3017.734769
316	3015.507247
317	3013.43158
318	3011.454656
319	3009.818478
320	3007.906001
321	3005.9648
322	3004.616192
323	3002.883683
324	3001.504428
325	2999.715147
326	2997.956997
327	2996.463691
328	2994.45388
329	2993.013396
330	2991.722128
331	2990.204291
332	2988.679311
333	2986.45843
334	2984.761907
335	2983.153946
336	2981.107629
337	2979.48267
338	2978.076128
