iter	Passed	Remaining
0	11	47331
1	22	44397
2	33	44187
3	43	43881
4	54	43245
5	64	42925
6	75	42893
7	85	42602
8	95	42483
9	105	42170
10	115	41993
11	127	42226
12	137	42082
13	147	42001
14	158	42089
15	168	42018
16	179	42127
17	190	42207
18	201	42283
19	211	42157
20	222	42175
21	233	42232
22	243	42146
23	255	42277
24	265	42234
25	276	42284
26	287	42338
27	298	42354
28	308	42309
29	319	42337
30	330	42275
31	341	42316
32	352	42382
33	362	42291
34	373	42292
35	383	42239
36	393	42179
37	404	42170
38	416	42297
39	427	42273
40	438	42382
41	450	42483
42	461	42460
43	473	42589
44	485	42656
45	496	42641
46	506	42618
47	518	42650
48	528	42622
49	538	42567
50	549	42544
51	560	42570
52	571	42527
53	582	42563
54	593	42566
55	603	42535
56	615	42584
57	628	42697
58	639	42721
59	650	42731
60	662	42774
61	673	42767
62	684	42795
63	697	42883
64	710	43009
65	721	43028
66	734	43091
67	747	43228
68	760	43307
69	773	43401
70	785	43444
71	798	43545
72	812	43693
73	825	43812
74	839	43926
75	852	43997
76	864	44032
77	876	44094
78	889	44169
79	902	44238
80	915	44309
81	928	44349
82	940	44384
83	953	44453
84	965	44469
85	978	44538
86	991	44597
87	1003	44595
88	1015	44604
89	1027	44644
90	1039	44644
91	1051	44660
92	1062	44633
93	1074	44664
94	1085	44632
95	1096	44610
96	1108	44588
97	1120	44596
98	1132	44617
99	1143	44587
100	1156	44629
101	1168	44653
102	1180	44665
103	1193	44711
104	1206	44749
105	1218	44773
106	1231	44795
107	1244	44831
108	1257	44873
109	1270	44912
110	1281	44907
111	1293	44896
112	1304	44878
113	1316	44867
114	1327	44830
115	1337	44786
116	1349	44788
117	1360	44752
118	1370	44706
119	1382	44696
120	1393	44673
121	1404	44636
122	1415	44612
123	1426	44603
124	1437	44575
125	1449	44577
126	1462	44591
127	1473	44575
128	1485	44563
129	1496	44545
130	1508	44555
131	1519	44515
132	1530	44495
133	1542	44488
134	1552	44447
135	1563	44423
136	1575	44420
137	1587	44432
138	1598	44411
139	1612	44456
140	1625	44497
141	1637	44483
142	1647	44449
143	1659	44438
144	1673	44502
145	1687	44553
146	1702	44623
147	1719	44747
148	1736	44885
149	1749	44912
150	1763	44939
151	1776	44975
152	1790	45019
153	1803	45048
154	1818	45099
155	1832	45147
156	1845	45172
157	1859	45216
158	1872	45233
159	1885	45246
160	1898	45261
161	1921	45532
162	1935	45557
163	1947	45561
164	1959	45548
165	1971	45538
166	1985	45561
167	1996	45547
168	2008	45522
169	2020	45525
170	2033	45531
171	2046	45548
172	2057	45521
173	2071	45538
174	2083	45533
175	2095	45535
176	2107	45518
177	2118	45498
178	2131	45500
179	2143	45497
180	2154	45464
181	2166	45452
182	2178	45447
183	2190	45437
184	2202	45425
185	2215	45422
186	2227	45417
187	2240	45420
188	2252	45422
189	2264	45407
190	2276	45390
191	2287	45377
192	2300	45373
193	2314	45401
194	2327	45417
195	2341	45445
196	2355	45475
197	2368	45477
198	2380	45459
199	2394	45502
200	2409	45549
201	2434	45782
202	2446	45757
203	2458	45754
204	2473	45782
205	2486	45801
206	2500	45823
207	2514	45838
208	2528	45862
209	2542	45878
210	2556	45914
211	2571	45944
212	2584	45948
213	2596	45928
214	2608	45913
215	2620	45909
216	2632	45898
217	2644	45871
218	2655	45845
219	2667	45828
220	2679	45824
221	2693	45840
222	2707	45853
223	2721	45875
224	2734	45879
225	2746	45863
226	2757	45836
227	2769	45819
228	2782	45822
229	2795	45814
230	2807	45800
231	2818	45783
232	2832	45795
233	2845	45803
234	2859	45816
235	2871	45798
236	2883	45786
237	2896	45791
238	2910	45803
239	2922	45792
240	2934	45776
241	2948	45786
242	2962	45800
243	2975	45799
244	2988	45800
