iter	RMSE
0	9779689.072
1	9285878.702
2	8797438.865
3	8361409.856
4	7948065.099
5	7564799.093
6	7224416.238
7	6924967.637
8	6753373.527
9	6478843.799
10	6227483.633
11	5983237.704
12	5712147.035
13	5490083.755
14	5305910.021
15	5112057.568
16	4985260.19
17	4785729.75
18	4612174.198
19	4475114.989
20	4344993.513
21	4197799.143
22	4051821.723
23	3972125.679
24	3836418.691
25	3756777.513
26	3687450.147
27	3575105.631
28	3484856.072
29	3424986.215
30	3344485.48
31	3264981.41
32	3152863.231
33	3075753.158
34	2978459.964
35	2931843.644
36	2861873.001
37	2794934.106
38	2729925.028
39	2674423.545
40	2620501.338
41	2604213.763
42	2558335.693
43	2513832.188
44	2454056.874
45	2440521.999
46	2427828.333
47	2384926.533
48	2353407.785
49	2318344.023
50	2298784.803
51	2261528.321
52	2224489.959
53	2205798.274
54	2189996.496
55	2179514.222
56	2172714.09
57	2149347.116
58	2143320.275
59	2121447.112
60	2082460.281
61	2049926.146
62	2044625.576
63	2014972.307
64	2010261.943
65	1997149.887
66	1978211.109
67	1974221.802
68	1965679.38
69	1945562.332
70	1940485.947
71	1922133.262
72	1906310.535
73	1903430.98
74	1900549.212
75	1881205.176
76	1859635.494
77	1857195.135
78	1836645.282
79	1822741.207
80	1800548.201
81	1778842.453
82	1758997.147
83	1755994.655
84	1754255.281
85	1738822.013
86	1724469.66
87	1716833.096
88	1696766.843
89	1693367.399
90	1680385.507
91	1674607.415
92	1663441.305
93	1651853.763
94	1638711.189
95	1625161.565
96	1613625.453
97	1602364.205
98	1589345.757
99	1575668.228
100	1562726.947
101	1555231.873
102	1543619.347
103	1525386.013
104	1515018.079
105	1501263.256
106	1490750.887
107	1476917.216
108	1463480.78
109	1455951.808
110	1447372.896
111	1444831.215
112	1433952.954
113	1427038.945
114	1417108.72
115	1406056.977
116	1395799.55
117	1384348.025
118	1373874.418
119	1364585.953
120	1361086.438
121	1351984.219
122	1342625.683
123	1333090.553
124	1326736.166
125	1318920.552
126	1309805.2
127	1302301.323
128	1298546.071
129	1292383.576
130	1284406.898
131	1277903.911
132	1268752.288
133	1264234.679
134	1257584.589
135	1252151.969
136	1248001.335
137	1243185.641
138	1235628.157
139	1228843.533
140	1225504.564
141	1218764.322
142	1211489.688
143	1205924.409
