iter	Passed	Remaining
0	3	5769
1	7	5611
2	10	5493
3	13	5515
4	17	5425
5	20	5372
6	23	5364
7	27	5459
8	29	5130
9	32	5165
10	35	5165
11	38	5150
12	42	5162
13	45	5152
14	48	5144
15	51	5051
16	52	4928
17	56	4951
18	58	4881
19	61	4820
20	64	4834
21	67	4830
22	70	4834
23	71	4725
24	75	4742
25	78	4752
26	80	4680
27	83	4682
28	86	4686
29	89	4695
30	92	4703
31	96	4705
32	99	4712
33	102	4710
34	105	4719
35	106	4645
36	110	4653
37	113	4664
38	116	4676
39	120	4685
40	123	4687
41	125	4662
42	129	4673
43	132	4678
44	135	4683
45	138	4691
46	142	4695
47	145	4699
48	148	4705
49	150	4679
50	154	4685
51	157	4703
52	161	4704
53	163	4681
54	166	4682
55	169	4660
56	170	4628
57	174	4631
58	176	4601
59	178	4584
60	181	4587
61	185	4592
62	188	4599
63	191	4600
64	193	4570
65	197	4579
66	199	4566
67	202	4572
68	206	4571
69	209	4575
70	212	4575
71	215	4576
72	218	4579
73	222	4580
74	225	4579
75	228	4583
76	231	4584
77	234	4585
78	238	4583
79	241	4586
80	244	4587
81	247	4587
82	251	4587
83	254	4588
84	256	4574
85	259	4573
86	262	4571
87	266	4573
88	269	4572
89	272	4571
90	275	4573
91	278	4573
92	282	4572
93	285	4571
94	288	4572
95	291	4572
96	295	4574
97	298	4572
98	301	4571
99	304	4570
100	307	4571
101	311	4570
102	314	4571
103	317	4572
104	321	4572
105	324	4573
106	327	4573
107	330	4571
108	334	4573
109	337	4573
110	340	4572
111	344	4572
112	347	4571
113	350	4573
114	354	4575
115	357	4575
116	360	4574
117	364	4575
118	367	4572
119	370	4574
120	374	4576
121	377	4577
122	381	4578
123	384	4578
124	387	4577
125	391	4578
126	394	4578
127	398	4578
128	401	4579
129	404	4576
130	408	4575
131	411	4576
132	414	4574
133	418	4574
134	421	4572
135	424	4570
136	427	4565
137	431	4566
138	434	4565
139	437	4564
140	440	4555
141	443	4554
142	446	4552
143	450	4551
144	453	4548
145	456	4546
146	459	4545
147	463	4543
148	466	4540
149	469	4542
150	473	4540
151	476	4539
152	479	4539
153	483	4538
154	486	4536
155	489	4534
156	493	4533
157	496	4531
158	499	4528
159	502	4524
160	506	4523
161	509	4521
162	512	4518
163	515	4517
164	519	4519
165	522	4517
166	526	4513
167	529	4511
168	532	4508
169	535	4504
170	538	4503
171	542	4501
172	545	4499
173	548	4496
174	552	4495
175	555	4493
176	558	4491
177	561	4488
178	565	4487
179	568	4484
180	571	4482
181	575	4480
182	578	4479
183	581	4475
184	584	4473
185	588	4471
186	591	4468
187	594	4466
188	597	4463
189	601	4461
190	604	4459
191	607	4457
192	611	4454
193	614	4452
194	617	4450
195	621	4449
196	624	4447
197	627	4444
198	630	4439
199	633	4436
200	637	4434
201	640	4431
202	643	4429
203	646	4426
204	649	4422
205	653	4420
206	656	4418
207	659	4416
208	663	4415
209	666	4412
210	669	4408
211	672	4405
212	676	4402
213	679	4400
214	682	4398
215	685	4394
216	689	4391
217	692	4390
218	695	4386
219	698	4382
220	702	4380
221	705	4377
222	708	4373
223	711	4372
224	715	4370
225	718	4367
226	722	4367
227	725	4365
228	728	4363
229	732	4361
230	735	4359
231	738	4357
232	742	4355
233	745	4353
234	748	4350
235	752	4349
236	755	4346
237	759	4345
238	762	4342
239	766	4341
240	769	4340
241	773	4338
242	776	4335
243	779	4334
244	783	4331
245	786	4329
246	790	4328
247	793	4325
248	796	4322
249	800	4321
250	803	4319
251	807	4317
252	810	4316
253	814	4314
254	817	4311
255	821	4310
256	824	4308
